epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,485.762,1.76337,1.15492,1.43568,0.73629,0.56715,0.65615,0.27161,1.92498,1.03481,1.19407,0.000693305,0.000693305,0.000693305
61,493.295,1.76162,1.16847,1.42695,0.73248,0.57565,0.64017,0.2619,1.97437,1.03531,1.218,0.000676802,0.000676802,0.000676802
62,500.929,1.78463,1.21181,1.44386,0.72459,0.46513,0.56224,0.23,2.07928,1.22018,1.22447,0.000660299,0.000660299,0.000660299
63,508.517,1.77254,1.17675,1.42001,0.7672,0.60966,0.67873,0.28377,1.86322,0.98058,1.15358,0.000643795,0.000643795,0.000643795
64,516.444,1.72764,1.18485,1.43141,0.76875,0.56396,0.63818,0.25991,1.9913,1.16852,1.20349,0.000627292,0.000627292,0.000627292
65,523.944,1.75513,1.18555,1.43526,0.77199,0.56779,0.66848,0.27965,1.86547,1.01588,1.15998,0.000610789,0.000610789,0.000610789
66,531.536,1.70777,1.13812,1.40496,0.74776,0.52918,0.61032,0.25308,1.98599,1.08859,1.20313,0.000594286,0.000594286,0.000594286
67,539.071,1.72234,1.13572,1.42254,0.71399,0.442,0.52631,0.21912,2.14034,1.19899,1.22776,0.000577782,0.000577782,0.000577782
68,546.678,1.72287,1.08384,1.38555,0.79079,0.62104,0.70129,0.29802,1.83939,0.96055,1.15498,0.000561279,0.000561279,0.000561279
69,554.337,1.70877,1.12865,1.41095,0.79265,0.60085,0.67987,0.28796,1.86263,0.97132,1.16238,0.000544776,0.000544776,0.000544776
70,562.184,1.72749,1.09378,1.39025,0.79957,0.52905,0.63425,0.26611,1.98455,1.08213,1.18949,0.000528272,0.000528272,0.000528272
71,569.751,1.68486,1.10707,1.40346,0.78283,0.60912,0.68349,0.29322,1.84759,0.98503,1.154,0.000511769,0.000511769,0.000511769
72,577.308,1.69728,1.11536,1.42927,0.78639,0.55937,0.62952,0.24807,2.0695,1.04716,1.20335,0.000495266,0.000495266,0.000495266
73,584.84,1.73169,1.14764,1.42935,0.7907,0.59194,0.65718,0.2733,1.92642,1.01454,1.17856,0.000478762,0.000478762,0.000478762
74,592.362,1.70165,1.06551,1.39986,0.73199,0.53929,0.62646,0.26451,1.88806,1.13545,1.17633,0.000462259,0.000462259,0.000462259
75,599.879,1.72281,1.10665,1.39214,0.76107,0.6156,0.70522,0.29891,1.82973,0.97744,1.14267,0.000445756,0.000445756,0.000445756
76,607.838,1.67121,1.11893,1.4034,0.80042,0.60348,0.68989,0.30036,1.82246,0.97617,1.13689,0.000429253,0.000429253,0.000429253
77,615.493,1.6731,1.10208,1.38601,0.73964,0.57272,0.65343,0.27732,1.89941,1.02113,1.14674,0.000412749,0.000412749,0.000412749
78,623.107,1.73632,1.11193,1.38909,0.80338,0.57741,0.68098,0.2907,1.87791,1.02127,1.15921,0.000396246,0.000396246,0.000396246
79,630.605,1.65145,1.11086,1.39587,0.79117,0.63744,0.71023,0.30631,1.79758,0.95441,1.1337,0.000379743,0.000379743,0.000379743
80,638.397,1.67076,1.1007,1.39657,0.78854,0.56027,0.65613,0.27806,1.93564,1.02532,1.17443,0.000363239,0.000363239,0.000363239
81,646.095,1.65591,1.06528,1.36465,0.79337,0.59284,0.69189,0.30105,1.82516,0.97928,1.15439,0.000346736,0.000346736,0.000346736
82,653.904,1.69298,1.09759,1.39956,0.77121,0.62035,0.71114,0.31158,1.80787,0.96357,1.13853,0.000330233,0.000330233,0.000330233
83,661.591,1.69888,1.0607,1.36422,0.7658,0.59776,0.69333,0.2974,1.81614,0.98703,1.15115,0.000313729,0.000313729,0.000313729
84,669.243,1.63185,1.05264,1.36386,0.79911,0.5835,0.70548,0.30549,1.81066,0.96418,1.13986,0.000297226,0.000297226,0.000297226
85,676.832,1.64433,1.03602,1.37857,0.79867,0.62465,0.70965,0.31062,1.80223,0.92198,1.13279,0.000280723,0.000280723,0.000280723
86,684.38,1.65753,1.02455,1.35902,0.81469,0.61613,0.70955,0.31652,1.80724,0.92594,1.14092,0.00026422,0.00026422,0.00026422
87,692.061,1.62132,1.04905,1.35763,0.79647,0.65382,0.71996,0.32112,1.79435,0.91329,1.13096,0.000247716,0.000247716,0.000247716
88,700,1.65145,1.05859,1.36289,0.79494,0.61631,0.70711,0.30884,1.81537,0.93959,1.1455,0.000231213,0.000231213,0.000231213
89,707.511,1.62725,1.02796,1.3721,0.79859,0.62978,0.71603,0.32064,1.7843,0.91041,1.12995,0.00021471,0.00021471,0.00021471
90,715.22,1.62697,1.03162,1.37286,0.81555,0.64016,0.72264,0.32442,1.77631,0.9017,1.12813,0.000198206,0.000198206,0.000198206
91,725.4,1.63881,1.00025,1.4213,0.80166,0.64421,0.72684,0.32209,1.77982,0.9132,1.1283,0.000181703,0.000181703,0.000181703
92,732.982,1.57279,0.98627,1.41921,0.75616,0.63388,0.70304,0.31425,1.81377,0.93852,1.13328,0.0001652,0.0001652,0.0001652
93,740.48,1.61267,0.97739,1.39165,0.78607,0.5836,0.67894,0.29494,1.85011,0.96515,1.15098,0.000148696,0.000148696,0.000148696
94,748.399,1.58201,0.96172,1.40909,0.78941,0.59469,0.68921,0.30208,1.82609,0.95324,1.13824,0.000132193,0.000132193,0.000132193
95,755.813,1.61354,0.95058,1.43527,0.75027,0.63944,0.71492,0.31926,1.77574,0.92442,1.11915,0.00011569,0.00011569,0.00011569
96,763.322,1.67503,0.98887,1.41672,0.78859,0.63997,0.72286,0.3246,1.78125,0.90298,1.11666,9.91865e-05,9.91865e-05,9.91865e-05
97,770.936,1.60043,0.94507,1.37746,0.80422,0.64017,0.72678,0.32725,1.76903,0.88918,1.11503,8.26832e-05,8.26832e-05,8.26832e-05
98,778.661,1.59791,0.94412,1.3652,0.79486,0.64797,0.72911,0.33223,1.76092,0.89462,1.11226,6.61799e-05,6.61799e-05,6.61799e-05
99,786.565,1.57151,0.93738,1.37047,0.7776,0.6495,0.72293,0.32873,1.76702,0.90164,1.11049,4.96766e-05,4.96766e-05,4.96766e-05
100,794.16,1.59354,0.93617,1.37957,0.78354,0.63842,0.72634,0.33022,1.76473,0.89572,1.11084,3.31733e-05,3.31733e-05,3.31733e-05
